id,name,region
1,Aurora-01,asia-pacific
2,Björk-02,middle-east-africa
3,Café-03,americas
4,東京-04,europe
5,München-05,asia-pacific
6,São-Paulo-06,middle-east-africa
7,Zürich-07,americas
8,Δέλτα-08,europe
9,Aurora-09,asia-pacific
10,Björk-10,middle-east-africa
11,Café-11,americas
12,東京-12,europe
13,München-13,asia-pacific
14,São-Paulo-14,middle-east-africa
15,Zürich-15,americas
16,Δέλτα-16,europe
17,Aurora-17,asia-pacific
18,Björk-18,middle-east-africa
19,Café-19,americas
20,東京-20,europe
21,München-21,asia-pacific
22,São-Paulo-22,middle-east-africa
23,Zürich-23,americas
24,Δέλτα-24,europe
25,Aurora-25,asia-pacific
26,Björk-26,middle-east-africa
27,Café-27,americas
28,東京-28,europe
29,München-29,asia-pacific
30,São-Paulo-30,middle-east-africa
31,Zürich-31,americas
32,Δέλτα-32,europe
33,Aurora-33,asia-pacific
34,Björk-34,middle-east-africa
35,Café-35,americas
36,東京-36,europe
37,München-37,asia-pacific
38,São-Paulo-38,middle-east-africa
39,Zürich-39,americas
40,Δέλτα-40,europe
41,Aurora-41,asia-pacific
42,Björk-42,middle-east-africa
43,Café-43,americas
44,東京-44,europe
45,München-45,asia-pacific
46,São-Paulo-46,middle-east-africa
47,Zürich-47,americas
48,Δέλτα-48,europe
49,Aurora-49,asia-pacific
50,Björk-50,middle-east-africa
51,Café-51,americas
52,東京-52,europe
53,München-53,asia-pacific
54,São-Paulo-54,middle-east-africa
55,Zürich-55,americas
56,Δέλτα-56,europe
57,Aurora-57,asia-pacific
58,Björk-58,middle-east-africa
59,Café-59,americas
60,東京-60,europe
61,München-61,asia-pacific
62,São-Paulo-62,middle-east-africa
63,Zürich-63,americas
64,Δέλτα-64,europe
