id,name,category
1,Écho-1-337,outdoor
2,灯-2-474,audio
3,Nimbus-3-611,garden
4,Pico-4-748,toys
5,Québec-5-885,books
6,Rīga-6-1022,kitchen
7,Sol-7-1159,wearables
8,Übung-8-1296,camera
9,Écho-9-1433,outdoor
10,灯-10-1570,audio
11,Nimbus-11-1707,garden
12,Pico-12-1844,toys
13,Québec-13-1981,books
14,Rīga-14-2118,kitchen
15,Sol-15-2255,wearables
16,Übung-16-2392,camera
17,Écho-17-2529,outdoor
18,灯-18-2666,audio
19,Nimbus-19-2803,garden
20,Pico-20-2940,toys
21,Québec-21-3077,books
22,Rīga-22-3214,kitchen
23,Sol-23-3351,wearables
24,Übung-24-3488,camera
25,Écho-25-3625,outdoor
26,灯-26-3762,audio
27,Nimbus-27-3899,garden
28,Pico-28-4036,toys
29,Québec-29-4173,books
30,Rīga-30-4310,kitchen
31,Sol-31-4447,wearables
32,Übung-32-4584,camera
