id,customer_id,product_id,sale_month,sale_day,quantity,unit_cents,discount_bps,coupon_code
1,34,20,202502,20250208,4,2940,1000,LOYAL
2,48,15,202507,20250724,5,2255,500,LOYAL
3,49,2,202510,20251018,3,474,0,LOYAL
4,38,14,202505,20250510,5,2118,500,SPRING
5,30,29,202511,20251111,4,4173,1500,LOYAL
6,36,13,202506,20250618,2,1981,500,夜市
7,16,11,202511,20251115,1,1707,500,
8,59,22,202503,20250326,1,3214,1000,WELCOME
9,47,18,202505,20250506,2,2666,1000,SPRING
10,51,32,202510,20251017,2,4584,1500,夜市
11,46,15,202507,20250701,3,2255,500,WELCOME
12,1,16,202507,20250715,1,2392,500,夜市
13,2,6,202510,20251013,4,1022,0,夜市
14,64,21,202507,20250722,3,3077,1000,
15,26,8,202512,20251207,3,1296,0,WELCOME
16,20,18,202511,20251122,4,2666,1000,WELCOME
17,12,9,202512,20251211,5,1433,500,SPRING
18,51,28,202512,20251212,1,4036,1500,夜市
19,21,9,202505,20250520,4,1433,500,
20,6,12,202504,20250407,3,1844,500,SPRING
21,45,18,202504,20250416,5,2666,1000,
22,6,5,202511,20251118,3,885,0,
23,33,13,202501,20250102,5,1981,500,WELCOME
24,35,1,202508,20250810,1,337,0,夜市
25,6,27,202512,20251223,2,3899,1500,夜市
26,17,6,202503,20250301,5,1022,0,LOYAL
27,35,11,202504,20250416,3,1707,500,WELCOME
28,22,8,202505,20250517,3,1296,0,
29,7,13,202505,20250528,3,1981,500,
30,61,11,202506,20250611,2,1707,500,LOYAL
31,4,21,202502,20250219,4,3077,1000,WELCOME
32,18,15,202502,20250226,5,2255,500,LOYAL
33,29,30,202503,20250303,3,4310,1500,
34,57,23,202506,20250628,1,3351,1000,
35,10,31,202511,20251104,2,4447,1500,
36,31,8,202511,20251106,4,1296,0,LOYAL
37,13,19,202506,20250606,3,2803,1000,LOYAL
38,39,8,202502,20250222,4,1296,0,LOYAL
39,53,26,202510,20251006,4,3762,1500,LOYAL
40,16,32,202508,20250805,4,4584,1500,LOYAL
41,27,16,202512,20251211,2,2392,500,SPRING
42,29,4,202501,20250122,4,748,0,
43,12,10,202507,20250717,2,1570,500,LOYAL
44,25,12,202505,20250526,5,1844,500,LOYAL
45,46,32,202511,20251122,2,4584,1500,
46,55,24,202505,20250521,1,3488,1000,SPRING
47,16,13,202505,20250504,5,1981,500,SPRING
48,20,18,202506,20250605,1,2666,1000,WELCOME
49,45,2,202509,20250902,1,474,0,
50,55,24,202510,20251006,5,3488,1000,LOYAL
51,48,11,202501,20250105,4,1707,500,SPRING
52,42,23,202508,20250807,3,3351,1000,
53,63,6,202510,20251028,4,1022,0,SPRING
54,56,2,202512,20251210,5,474,0,
55,8,11,202512,20251202,2,1707,500,LOYAL
56,41,25,202504,20250407,1,3625,1500,
57,18,24,202510,20251004,3,3488,1000,夜市
58,27,4,202506,20250608,5,748,0,夜市
59,58,3,202512,20251225,4,611,0,WELCOME
60,30,30,202510,20251005,3,4310,1500,WELCOME
61,11,12,202510,20251016,3,1844,500,LOYAL
62,11,2,202505,20250510,5,474,0,WELCOME
63,21,11,202511,20251109,2,1707,500,
64,55,19,202501,20250109,4,2803,1000,LOYAL
65,18,22,202511,20251113,1,3214,1000,SPRING
66,12,3,202512,20251216,2,611,0,夜市
67,31,13,202502,20250224,4,1981,500,LOYAL
68,2,8,202511,20251119,5,1296,0,WELCOME
69,37,24,202504,20250406,5,3488,1000,WELCOME
70,60,24,202501,20250110,2,3488,1000,
71,5,1,202502,20250217,4,337,0,LOYAL
72,1,3,202509,20250911,5,611,0,SPRING
73,51,17,202505,20250515,2,2529,1000,SPRING
74,42,9,202511,20251111,3,1433,500,LOYAL
75,59,6,202504,20250410,4,1022,0,SPRING
